Date,Headline,Subjectivity,Polarity,Compound,Negative,Neutral,Positive
2020-12-11,California to join federal antitrust case against Google,0.0,0.0,0.296,0.0,0.761,0.239
2020-12-11,The Wall Street Journal: California files to join Justice Department antitrust lawsuit against Google,0.0,0.0,0.5719,0.103,0.595,0.303
2020-12-11,"Nvidia Reaching $1 Trillion Will Be Tricky, But Growth Is Inevitable",1.0,0.0,0.4215,0.114,0.571,0.314
2020-12-11,7 Earnings Reports to Watch Next Week,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-11,Europe urged to block Google-Fitbit ahead of major digital policy overhaul,0.25,0.03125,-0.4404,0.225,0.775,0.0
2020-12-11,"Decrypted: Google finds a devastating iPhone security flaw, FireEye hack sends alarm bells ringing",1.0,-1.0,-0.6486,0.351,0.524,0.126
2020-12-11,"News24.com | Facebook, Google risk fines of up to 6% revenue under new EU rules",0.45454545454545453,0.13636363636363635,-0.2732,0.139,0.861,0.0
2020-12-10,Google will let you turn off YouTube ads for alcohol and gambling,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-10,The Facebook Battle: Big Government vs. the Free Internet,0.45,0.2,0.1779,0.202,0.543,0.256
2020-12-10,"Google, YouTube To Let Users Opt Out Of Gambling, Alcohol Ads",0.0,0.0,0.0,0.0,1.0,0.0
2020-12-10,: Google and antitrust: Big Tech’s first target could face more legal action,0.24666666666666667,0.21000000000000002,0.2006,0.0,0.86,0.14
2020-12-10,"Google, Intel, Zoom and others launch a new alliance to get enterprises to use more Chrome",0.4772727272727273,0.3181818181818182,0.0,0.0,1.0,0.0
2020-12-10,The 7 Best Startups You Can Buy on StartEngine Right Now,0.4178571428571428,0.6428571428571428,0.6369,0.0,0.682,0.318
2020-12-10,Google to add Covid-19 vaccine information panels to Search,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-10,Google Lifts Political Ad Blackout; YouTube Finally Bans Election Fraud Claims,0.55,0.0,-0.5859,0.275,0.725,0.0
2020-12-10,The Wall Street Journal: France fines Google and Amazon more than $163 million over privacy,0.5,0.5,0.1779,0.0,0.892,0.108
2020-12-10,"French Data Protection Agency Fines Amazon, Google Over Advertising Cookies ",0.0,0.0,0.1779,0.0,0.841,0.159
2020-12-10,Google and IAB adtech targeted with more RTB privacy complaints,0.5,0.5,-0.4522,0.248,0.752,0.0
2020-12-10,France fines Google $120M and Amazon $42M for dropping tracking cookies without consent,0.0,0.0,0.0088,0.116,0.766,0.118
2020-12-10,French watchdog fines Google €100m on cookies rule fail,0.14999999999999997,-0.25,-0.5423,0.304,0.696,0.0
2020-12-10,"France's CNIL Fines Amazon, Google For Placing Advertising Cookies Without Consent ",0.0,0.0,0.0088,0.135,0.728,0.137
2020-12-09,Google CEO says company will review AI scholar's abrupt exit,1.0,-0.125,0.0,0.0,1.0,0.0
2020-12-09,Breakthrough Blockchain Technology Is Now Converting the Skeptics,0.0,0.0,-0.1027,0.167,0.833,0.0
2020-12-09,Google CEO says company will review events leading up to Dr. Timnit Gebru’s departure,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-09,Social media stocks lower as antitrust reaction focuses on potential of Facebook breakup,0.5333333333333333,0.016666666666666666,-0.296,0.155,0.845,0.0
2020-12-09,Palantir Is Even More Enticing After the Recent Sell-Off,0.375,0.25,0.0,0.0,1.0,0.0
2020-12-09,The Wall Street Journal: Google to lift month-long political ad ban on Thursday,0.1,0.0,-0.5574,0.231,0.769,0.0
2020-12-09,Management Fixed the Problems and GE Stock Is Back on Track,0.1,0.05,-0.4019,0.213,0.787,0.0
2020-12-09,Man facing terror charges ‘made Google searches about Columbine shooters’,0.0,0.0,-0.6705,0.407,0.593,0.0
2020-12-09,Google will change how Chrome extensions access data in 2021,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-09,3 Altcoins That Could Outpace Bitcoin in the Coming Years,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-09,"Australia unveils laws to make Google, Facebook pay for news",0.0,0.0,-0.1027,0.135,0.865,0.0
2020-12-09,"Google quietly acquires Dataform, the UK startup helping businesses manage data warehouses",0.3333333333333333,0.0,0.296,0.0,0.833,0.167
2020-12-09,"Firebolt raises $37M to take on Snowflake, Amazon and Google with a new approach to data warehousing",0.45454545454545453,0.13636363636363635,0.1779,0.0,0.898,0.102
2020-12-09,"Google app store fees to widen gap between Netflix, local OTTs ",0.0,0.0,0.0,0.0,1.0,0.0
2020-12-09,Apple (AAPL) Music Now Available on Google Smart Speakers,0.5214285714285715,0.30714285714285716,0.4019,0.0,0.748,0.252
2020-12-08,"A company used Google ads to target sacked Australian workers, promising unfair dismissal payouts. Many clients say they were never paid.",0.5,0.05,-0.1027,0.13,0.756,0.113
2020-12-08,"News24.com | WATCH | Australia to charge Facebook, Google for content",0.0,0.0,0.0,0.0,1.0,0.0
2020-12-08,"UK tech rules may single out Facebook, Google",0.21428571428571427,-0.07142857142857142,0.0,0.0,1.0,0.0
2020-12-08,4 Undervalued Bargain Stocks to Buy Before They Bounce,0.0,0.0,0.2023,0.0,0.795,0.205
2020-12-08,Former Salesforce chief scientist announces new search engine to take on Google,0.22727272727272727,0.06818181818181818,0.0,0.0,1.0,0.0
2020-12-08,Google wants you to help build its Fuchsia operating system,0.1,0.2,0.4019,0.0,0.769,0.231
2020-12-08,Google opens its Fuchsia operating system to outside developers,0.05,0.0,0.0,0.0,1.0,0.0
2020-12-08,Senate Democrats Push Google To Improve Ad Policies,0.0,0.0,0.4404,0.0,0.707,0.293
2020-12-08,Google Cloud expands edge computing to help companies leverage AI and 5G,0.0,0.0,0.4767,0.0,0.709,0.291
2020-12-08,Plurilock Announces Availability of New Mobile App for iPhone and Android Devices,0.45454545454545453,0.13636363636363635,0.0,0.0,1.0,0.0
2020-12-08,"Facebook, Google will have to negotiate payments with Australian publishers as laws head to parliament",0.0,0.0,0.0,0.0,1.0,0.0
2020-12-08,Australia to reveal laws to make Google and FB pay for news,0.0,0.0,-0.1027,0.113,0.887,0.0
2020-12-07,Evercore's quarterly IT spending survey points to 'robust' 2021; here are its favored firms from the results,0.9,0.8,0.4215,0.0,0.851,0.149
2020-12-07,Daily Crunch: Google smart speakers add Apple Music support,0.32142857142857145,0.10714285714285714,0.6597,0.0,0.565,0.435
2020-12-07,Researchers are starting to refuse to review Google AI papers,0.1,0.0,-0.296,0.196,0.804,0.0
2020-12-07,Google adds support for Apple Music to its Google Assistant-enabled smart speakers and displays,0.6428571428571429,0.21428571428571427,0.6597,0.0,0.69,0.31
2020-12-07,3 Large-Cap Stocks to Buy for Surprise Upside Potential Into 2021,1.0,0.0,0.2732,0.0,0.811,0.189
2020-12-07,The Wall Street Journal: Google spars with Barry Diller’s IAC on penalties for marketing practices,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-07,InvestmentPitch Media Video Discusses Urbanimmersive's Launch of its 'UI Capture' App for iOS and Android for the Ricoh Theta Z1 360 Camera - Video Available on Investmentpitch.com,0.4,0.4,0.0,0.0,1.0,0.0
2020-12-07,The InvestorPlace Q&A: Focus on the Future of Work With the ProShares MSCI Transformational Changes ETF,0.125,0.0,0.0,0.0,1.0,0.0
2020-12-07,Google Considers Penalties Over IAC's Chrome Browser Extensions: WSJ ,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-07,IAC shares drop 3% as Google mulls browser extension ban - WSJ,0.0,0.0,-0.5423,0.358,0.503,0.138
2020-12-06,Fitbit Pay and Google Pay available via credit unions,0.4,0.4,0.2023,0.246,0.526,0.228
2020-12-04,"Google AI researcher's exit sparks ethics, bias concerns",0.0,0.0,-0.1027,0.167,0.833,0.0
2020-12-04,"AI Weekly: In firing Timnit Gebru, Google puts commercial interests ahead of ethics",0.0,0.0,-0.1027,0.156,0.714,0.13
2020-12-04,Timnit Gebru: Google staff rally behind fired AI researcher,0.7,-0.4,-0.5574,0.31,0.69,0.0
2020-12-04,5 Streaming Stocks to Buy for a Socially Distanced Holiday Season,0.06666666666666667,0.03333333333333333,0.4019,0.0,0.748,0.252
2020-12-04,Nokia Stock Looks Like It Won’t Be Going Anywhere for a While,0.0,0.0,0.3612,0.0,0.8,0.2
2020-12-04,7 Tech Stocks Ready to Rally Higher,0.5,0.225,0.3612,0.0,0.667,0.333
2020-12-04,"Market bets on Google, Facebook takeover of KineMaster ",0.0,0.0,0.0,0.0,1.0,0.0
2020-12-04,AI ethics pioneer’s exit from Google involved research into risks and inequality in large language models,0.42857142857142855,0.21428571428571427,-0.2732,0.123,0.877,0.0
2020-12-03,Google Researcher Timnit Gebru Says She Was Fired For Paper on AI Bias ,0.0,0.0,-0.6124,0.312,0.688,0.0
2020-12-03,Daily Crunch: Google fires co-lead of its Ethical AI team,0.3,0.1,0.5106,0.0,0.732,0.268
2020-12-03,Google embroiled in row over AI bias research,0.0,0.0,-0.1027,0.167,0.833,0.0
2020-12-03,WWE Undefeated launches on iOS and Android,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-03,Why and How You Should Shop the Drop in Alibaba Stock,0.0,0.0,-0.2732,0.174,0.826,0.0
2020-12-03,News24.com | Google set to win EU approval for Fitbit takeover next week,0.2,0.4,0.7845,0.0,0.592,0.408
2020-12-03,Innovation and Risk Taking Will Continue to Push Li Auto Stock Higher,0.5,0.25,0.128,0.143,0.68,0.177
2020-12-03,Innovation and Risk Taking Will Continue to Push Li Stock Higher,0.5,0.25,0.128,0.153,0.657,0.19
2020-12-03,"The Zacks Analyst Blog Highlights: Google, Amazon, Baidu, Intel and Apple",0.0,0.0,0.1779,0.0,0.855,0.145
2020-12-03,Google AI ethics co-lead Timnit Gebru says she was fired over an email,0.0,0.0,-0.5574,0.231,0.769,0.0
2020-12-03,Google now lets anyone contribute to Street View using AR and an app,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-03,US Labor Board Alleges Google Of Unfair Labor Practices ,1.0,-0.5,-0.4767,0.279,0.721,0.0
2020-12-03,"Airbnb IPO: Just Because You Love the Service, Should You Buy the Stock?",0.6,0.5,0.6369,0.0,0.741,0.259
2020-12-02,Google faces complaint from NLRB alleging surveillance of employees and other labor violations,0.2875,-0.2125,-0.6808,0.337,0.663,0.0
2020-12-02,Federal Labor Agency Says Google Wrongly Fired 2 Employees,0.9,-0.5,-0.5574,0.34,0.66,0.0
2020-12-02,Google shutting down Poly 3D content platform,0.2888888888888889,-0.15555555555555559,0.0,0.0,1.0,0.0
2020-12-02,Up to 40 states plan to sue Facebook for antitrust next week - CNBC,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-02,A $200 Million Pizza! Here’s How Bitcoin Made That Possible …,1.0,0.0,0.0,0.0,1.0,0.0
2020-12-02,Twitter now supports hardware security keys for iPhones and Android,0.0,0.0,0.5994,0.0,0.62,0.38
2020-12-02,4 AI Stocks That Are Helping the World Make Smarter Decisions,0.0,0.0,0.6369,0.0,0.606,0.394
2020-12-02,": Google wrongfully spied on and terminated employees, NLRB complaint says",0.2,-0.3,-0.296,0.196,0.804,0.0
2020-12-02,The 7 Best Startups You Can Buy on Republic Right Now,0.4178571428571428,0.6428571428571428,0.6369,0.0,0.682,0.318
2020-12-02,Google acquires Actifio to step into the area of data management and business continuity,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-02,Loon’s stratospheric balloons are now teaching themselves to fly better thanks to Google AI,0.5333333333333333,0.5,0.7003,0.0,0.674,0.326
2020-12-02,Google says its News Showcase will add free access to paywalled stories,0.8,0.4,0.5106,0.0,0.769,0.231
2020-12-02,8 Travel Stocks Celebrating The Positive Vaccine News,0.5454545454545454,0.22727272727272727,0.8074,0.0,0.407,0.593
2020-12-02,A Chime IPO Is Likely Right Around the Corner,0.7678571428571428,0.14285714285714285,0.0,0.0,1.0,0.0
2020-12-02,7 Of The Best Long-Term Tech Stocks To Buy As Sector Looks Ready to Charge,0.4,0.6,0.7717,0.0,0.642,0.358
2020-12-01,Google Maps takes on Facebook with launch of its own news feed,1.0,0.6,0.0,0.0,1.0,0.0
2020-12-01,"Google launches Android Enterprise Essentials, a mobile device management service for small businesses",0.4,-0.25,0.0,0.0,1.0,0.0
2020-12-01,2 Reasons Amazon Will Keep Taking Ad Sales From Google,0.0,0.0,0.1779,0.0,0.825,0.175
2020-12-01,7 Machine Learning Stocks for a Smarter Future,0.125,0.0,0.4588,0.0,0.625,0.375
2020-12-01,"The Zacks Analyst Blog Highlights: Amazon, Google, Zoom Video, Automatic Data Processing and Moderna",0.0,0.0,0.1779,0.0,0.884,0.116
2020-12-01,Here’s What You Need to Know Heading into the Roblox IPO,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-01,4 Chinese Tech Stocks to Buy Despite Potential Regulation,0.5,0.0,0.0,0.0,1.0,0.0
2020-12-01,Google Play’s Best of 2020 Awards highlight the stressful year it’s been,0.3,1.0,0.743,0.158,0.383,0.459
2020-12-01,Google Play’s best games of 2020 — Genshin Impact is the big winner,0.2,0.5,0.8402,0.0,0.556,0.444
2020-12-01,Amazon Web Services installing Macs to enable remote Apple app development,0.2,-0.1,0.1779,0.0,0.855,0.145
2020-11-30,Nvidia Stock: Expensive But Still Worth It?,0.39999999999999997,-0.1,0.2263,0.0,0.759,0.241
2020-11-30,Apple Stock Profits Are Short and Long Term Opportunities,0.35,-0.025,0.6705,0.0,0.56,0.44
2020-11-30,Facebook and Google accused of complicity in Vietnam censorship,0.0,0.0,-0.296,0.216,0.784,0.0
2020-11-30,The Wall Street Journal: Facebook and Google set to face new antitrust suits in U.S.,0.45454545454545453,0.13636363636363635,0.0,0.0,1.0,0.0
2020-11-30,Slack Just Got a Lifeline from Salesforce Buyout Talks,0.0,0.0,0.0,0.0,1.0,0.0
