Date,Headline,Subjectivity,Polarity,Compound,Negative,Neutral,Positive
2020-12-12,"Experts say the antitrust suits against Facebook may not change anything, but they're still a 'big deal' and signal that the US government will no longer look the other way",0.2375,-0.0625,-0.4215,0.091,0.909,0.0
2020-12-12,Internal emails show how the UK government is closely monitoring anti-vaccine sentiment as the jab rolls out,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-11,7 Earnings Reports to Watch Next Week,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-11,Germany launches competition probe into Facebook over VR,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-11,"What if Facebook is forced to ditch Instagram, WhatsApp?",0.2,-0.30000000000000004,-0.4588,0.273,0.727,0.0
2020-12-11,Mark Zuckerberg told Facebook employees they won't need a COVID-19 vaccine when they return to the office next summer,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-11,"News24.com | Facebook, Google risk fines of up to 6% revenue under new EU rules",0.45454545454545453,0.13636363636363635,-0.2732,0.139,0.861,0.0
2020-12-11,Facebook reportedly told its ad reviewers to ignore fraud and hacked accounts as long as 'Facebook gets paid',0.4,-0.05,-0.8402,0.375,0.625,0.0
2020-12-10,Facebook (FB) Dips More Than Broader Markets: What You Should Know,0.5,0.5,0.0,0.0,1.0,0.0
2020-12-10,Facebook breakup would demolish Zuckerberg's social media empire,0.06666666666666667,0.03333333333333333,0.0,0.0,1.0,0.0
2020-12-10,The Facebook Battle: Big Government vs. the Free Internet,0.45,0.2,0.1779,0.202,0.543,0.256
2020-12-10,"Facebook tried and failed multiple times to acquire a mystery competitor that wasn't Twitter or Snapchat, according to the FTC's new lawsuit",0.2515151515151515,-0.12121212121212122,-0.6369,0.215,0.785,0.0
2020-12-10,: Facebook and antitrust: The effort to force spinoffs of Instagram and WhatsApp starts a long legal path,0.30000000000000004,0.07500000000000001,0.128,0.0,0.909,0.091
2020-12-10,The 7 Best Startups You Can Buy on StartEngine Right Now,0.4178571428571428,0.6428571428571428,0.6369,0.0,0.682,0.318
2020-12-10,'It's better to buy than compete': The FTC is using Mark Zuckerberg's own words against him. Read the Facebook CEO's crucial emails here.,0.8333333333333334,0.3666666666666667,0.4404,0.0,0.884,0.116
2020-12-10,News24.com | Facebook breakup seen as real risk in landmark antitrust cases,0.30000000000000004,0.2,-0.2023,0.169,0.726,0.105
